ID	Family	Genus	Species	Part	Unnamed: 5	is_approximate_match	is_synonym	matched_name	nomenclature_code	score	search_string	taxon.flags	taxon.is_suppressed	taxon.is_suppressed_from_synth	taxon.name	taxon.ott_id	taxon.rank	taxon.source	taxon.synonyms	taxon.tax_sources	taxon.unique_name	_merge
Sacoglottis trichogyna|L	humiriaceae	Sacoglottis	sacoglottis trichogyna	L		False	False	Sacoglottis trichogyna	ICN	1.0	sacoglottis trichogyna	[]	False	False	Sacoglottis trichogyna	6101284.0	species	ott3.5draft1	[]	['gbif:8198503']	Sacoglottis trichogyna	both
Anthurium spectabile|WP	araceae	Anthurium	anthuriumctabile	WP		True	False	Anthurium nobile	ICN	0.8125	anthuriumctabile	[]	False	False	Anthurium solitarium	3999601.0	species	ott3.5draft1	['Anthurium glaziovii', 'Anthurium nobile', 'Pothos solitarius']	['gbif:2872638', 'irmng:11155600']	Anthurium solitarium	both
Renealmia pluriplicata|WP	zingiberaceae	Renealmia	renealmia pluriplicata	WP		False	False	Renealmia pluriplicata	ICN	1.0	renealmia pluriplicata	[]	False	False	Renealmia pluriplicata	239376.0	species	ott3.5draft1	[]	['ncbi:376580', 'gbif:5302665']	Renealmia pluriplicata	both
Cestrum microcalix|AE	solanaceae	Cestrum	cestrum microcalix	AE		True	False	Cestrum microcalyx	ICN	0.9444444179534912	cestrum microcalix	[]	False	False	Cestrum microcalyx	6091475.0	species	ott3.5draft1	['Cestrum donnell-smithii', 'Cestrum silvaticum', 'Cestrum tenuissimum']	['gbif:3802311']	Cestrum microcalyx	both
Billia rosea|L	hippocastanaceae	Billia	billia rosea	L		False	False	Billia rosea	ICN	1.0	billia rosea	[]	False	False	Billia rosea	6124696.0	species	ott3.5draft1	['Aesculus mexicana', 'Billia columbiana', 'Billia hippocastanum', 'Pawia mexicana', 'Putzeysia rosea']	['ncbi:1807071', 'gbif:3672305']	Billia rosea	both
Calatola costaricensis|AE	icacinaceae	Calatola	calatola costaricensis	AE		False	False	Calatola costaricensis	ICN	1.0	calatola costaricensis	[]	False	False	Calatola costaricensis	233232.0	species	ott3.5draft1	['Calatola columbiana', 'Calatola pastazana', 'Calatola sanquininensis', 'Calatola venezuelana']	['ncbi:1136814', 'gbif:3597030']	Calatola costaricensis	both
Gonzalagunia bracteosa|AE	rubiaceae	Gonzalagunia	gonzalagunia bracteosa	AE		False	True	Gonzalagunia bracteosa	ICN	1.0	gonzalagunia bracteosa	[]	False	False	Bertiera bracteosa	273103.0	species	ott3.5draft1	['Bertiera oligosperma', 'Duggena bracteosa', 'Gonzalagunia bracteosa', 'Gonzalea bracteosa']	['ncbi:1125919', 'gbif:2908906']	Bertiera bracteosa	both
Conostegia setosa|WP	melastomataceae	Conostegia	conostegia setosa	WP		False	False	Conostegia setosa	ICN	1.0	conostegia setosa	[]	False	False	Conostegia setosa	61266.0	species	ott3.5draft1	['Conostegia hirsuta', 'Cryptophysa setosa']	['ncbi:476975', 'gbif:3858853']	Conostegia setosa	both
Panicum maximum|WP	poaceae	Panicum	panicum maximum	WP		False	True	Panicum maximum	ICN	1.0	panicum maximum	[]	False	False	Megathyrsus maximus	861079.0	species	ott3.5draft1	['Panicum maximum', 'Urochloa maxima']	['ncbi:59788', 'irmng:10212714']	Megathyrsus maximus	both
Ichnanthus nemorosus|WP	poaceae	Ichnanthus	ichnanthus nemorosus	WP		False	False	Ichnanthus nemorosus	ICN	1.0	ichnanthus nemorosus	[]	False	False	Ichnanthus nemorosus	729435.0	species	ott3.5draft1	['Echinolaena nemorosa', 'Hildaea nemorosa', 'Ichnanthus colonarius', 'Ichnanthus gracilis', 'Ichnanthus nubigenus', 'Ichnanthus nubilis', 'Ichnanthus tenuifolius', 'Milium nemorosum', 'Panicum nemorosum', 'Panicum nemorosum uncinatum']	['ncbi:416046', 'gbif:2704502', 'irmng:10207522']	Ichnanthus nemorosus	both
Danaea nodosa|L	marattiaceae	Danaea	danaea nodosa	L		False	False	Danaea nodosa	ICN	1.0	danaea nodosa	[]	False	False	Danaea nodosa	891014.0	species	ott3.5draft1	['Acrostichum nodosum', 'Asplenium nodosum', 'Danaea angustifolia', 'Danaea bicolor', 'Danaea cordata', 'Danaea elata', 'Danaea elliptica', 'Danaea erecta', 'Danaea latipinna', 'Danaea longicaudata', 'Danaea longifolia', 'Danaea nigrescens', 'Danaea nodosa angustifolia', 'Danaea nodosa intermedia', 'Danaea nodosa longifolia', 'Danaea sellowiana']	['ncbi:491836', 'gbif:5274880', 'irmng:11387411']	Danaea nodosa	both
Drymonia pilifera|WP	gesneriaceae	Drymonia	drymonia pilifera	WP		False	False	Drymonia pilifera	ICN	1.0	drymonia pilifera	[]	False	False	Drymonia pilifera	1039804.0	species	ott3.5draft1	[]	['ncbi:352313', 'gbif:5590646']	Drymonia pilifera	both
Herrania purpurea|AE	sterculiaceae	Herrania	herrania purpurea	AE		False	False	Herrania purpurea	ICN	1.0	herrania purpurea	[]	False	False	Herrania purpurea	1088452.0	species	ott3.5draft1	['Theobroma purpureum']	['ncbi:108874', 'gbif:3668083']	Herrania purpurea	both
Bravaisia integerrima|L	acanthaceae	Bravaisia	bravaisia integerrima	L		False	False	Bravaisia integerrima	ICN	1.0	bravaisia integerrima	[]	False	False	Bravaisia integerrima	654225.0	species	ott3.5draft1	['Amasonia integerrima', 'Androcentrum multiflorum', 'Barleria anomala', 'Bravaisia floribunda', 'Onychacanthus arboreus', 'Onychacanthus cumingii', 'Onychacanthus speciosus', 'Ruellia arborescens']	['ncbi:440885', 'gbif:7264178']	Bravaisia integerrima	both
Hura crepitans|L	euphorbiaceae	Hura	hura crepitans	L		False	False	Hura crepitans	ICN	1.0	hura crepitans	[]	False	False	Hura crepitans	870626.0	species	ott3.5draft1	['Hura brasiliensis', 'Hura crepitans genuina', 'Hura crepitans membranacea', 'Hura crepitans oblongifolia', 'Hura crepitans orbicularis', 'Hura crepitans ovata', 'Hura crepitans senegalensis', 'Hura crepitans strepens', 'Hura senegalensis', 'Hura strepens']	['ncbi:99294', 'gbif:5380015', 'irmng:10241493']	Hura crepitans	both
Batocarpus costaricensis|L	moraceae	Batocarpus	batocarpus costaricensis	L		False	False	Batocarpus costaricensis	ICN	1.0	batocarpus costaricensis	[]	False	False	Batocarpus costaricensis	696248.0	species	ott3.5draft1	[]	['ncbi:241865', 'gbif:3763858']	Batocarpus costaricensis	both
Licaria cufodontisii|L	lauraceae	Licaria	licaria cufodontisii	L		False	True	Licaria cufodontisii	ICN	1.0	licaria cufodontisii	[]	False	False	Licaria misantlae	6026431.0	species	ott3.5draft1	['Acrodiclidium caudatum', 'Acrodiclidium cufodontisii', 'Acrodiclidium misantlae', 'Chanekia caudata', 'Chanekia misantlae', 'Licaria caudata', 'Licaria cufodontisii', 'Misanteca caudata', 'Misanteca cufodontisii', 'Misanteca misantlae']	['gbif:4182150']	Licaria misantlae	both
Heisteria concinna|L	olacaceae	Heisteria	heisteria concinna	L		False	False	Heisteria concinna	ICN	1.0	heisteria concinna	[]	False	False	Heisteria concinna	388657.0	species	ott3.5draft1	[]	['ncbi:50126', 'gbif:7432012']	Heisteria concinna	both
Erythrochiton gymnanthus|L	rutaceae	Erythrochiton	erythrochiton gymnanthus	L		False	False	Erythrochiton gymnanthus	ICN	1.0	erythrochiton gymnanthus	[]	False	False	Erythrochiton gymnanthus	6126249.0	species	ott3.5draft1	[]	['gbif:5593669']	Erythrochiton gymnanthus	both
Faramea occidentalis|AE	rubiaceae	Faramea	faramea occidentalis	AE		False	False	Faramea occidentalis	ICN	1.0	faramea occidentalis	[]	False	False	Faramea occidentalis	243665.0	species	ott3.5draft1	['Antoniana laurifolia', 'Coffea occidentalis', 'Coussarea americana', 'Coussarea odoratissima', 'Darluca prostrata', 'Faramea americana', 'Faramea cyanea', 'Faramea occidentalis brachycalyx', 'Faramea occidentalis meridionalis', 'Faramea odoratissima', 'Faramea tenuiflora', 'Faramea warmingiana', 'Faramea zetekii', 'Ixora americana', 'Ixora occidentalis', 'Neleixa prostrata', 'Tetramerium occidentale', 'Tetramerium odoratissimum']	['ncbi:60050', 'gbif:2898087', 'gbif:2898162', 'irmng:10590038']	Faramea occidentalis	both
Chomelia microloba|L	rubiaceae	Chomelia	chomelia microloba	L		False	False	Chomelia microloba	ICN	1.0	chomelia microloba	[]	False	False	Chomelia microloba	3880851.0	species	ott3.5draft1	['Anisomeris microloba', 'Chione chambersii', 'Chomelia peninsularis']	['gbif:5337311']	Chomelia microloba	both
Sorocea pubivena|L	moraceae	Sorocea	sorocea pubivena	L		False	False	Sorocea pubivena	ICN	1.0	sorocea pubivena	[]	False	False	Sorocea pubivena	552696.0	species	ott3.5draft1	[]	['ncbi:241924', 'gbif:7262377']	Sorocea pubivena	both
Tabebuia chrysantha|AE	bignoniaceae	Tabebuia	tabebuia chrysantha	AE		False	True	Tabebuia chrysantha	ICN	1.0	tabebuia chrysantha	[]	False	False	Handroanthus chrysanthus	237902.0	species	ott3.5draft1	['Tabebuia chrysantha', 'Tabebuia crysantha', 'Tecoma spectabilis']	['ncbi:429696', 'gbif:6401337', 'irmng:11216959']	Handroanthus chrysanthus	both
Piper reticulatum|AE	piperaceae	Piper	piper reticulatum	AE		False	False	Piper reticulatum	ICN	1.0	piper reticulatum	[]	False	False	Piper reticulatum	505277.0	species	ott3.5draft1	['Artanthe ruiziana', 'Artanthe schlechtendalii', 'Discipiper reticulatum', 'Enckea lata', 'Enckea reticulata', 'Enckea smilacifolia', 'Macropiper latum', 'Piper discophorum', 'Piper duchassaingii', 'Piper latum', 'Piper pangoense', 'Piper reticulatum santa-rosanum', 'Piper smilacifolium', 'Piper tarapotianum']	['ncbi:130413', 'gbif:3086330', 'irmng:10941215']	Piper reticulatum	both
Brosimum alicastrum|AE	moraceae	Brosimum	brosimum alicastrum	AE		False	False	Brosimum alicastrum	ICN	1.0	brosimum alicastrum	[]	False	False	Brosimum alicastrum	923984.0	species	ott3.5draft1	['Brosimum uleanum']	['ncbi:194253', 'gbif:2984660', 'irmng:10766687']	Brosimum alicastrum	both
Guapira costaricana|AE	nyctaginaceae	Guapira	guapira costaricana	AE		False	False	Guapira costaricana	ICN	1.0	guapira costaricana	[]	False	False	Guapira costaricana	6038293.0	species	ott3.5draft1	['Guapira itzana', 'Torrubia costaricana']	['gbif:3700190']	Guapira costaricana	both
