Family	Genus	Species	matched_name	taxon.name	taxon.ott_id	taxon.synonyms	NCBITaxonomy
poaceae	Saccharum	saccharum officinarum	Saccharum officinarum	Saccharum officinarum	1079465.0	['Arundo saccharifera oppr', 'Saccharum atrorubens', 'Saccharum bataviense', 'Saccharum fragile', 'Saccharum glabrum', 'Saccharum hybridum', 'Saccharum infirmum', 'Saccharum luzonicum', 'Saccharum maddenii', 'Saccharum monandrum', 'Saccharum obscurum', 'Saccharum occidentale', 'Saccharum officinale', 'Saccharum officinarum atrorubens', 'Saccharum officinarum brevipedicellatum', 'Saccharum officinarum fragile', 'Saccharum officinarum fragile-variegatum', 'Saccharum officinarum genuinum', 'Saccharum officinarum giganteum', 'Saccharum officinarum glabrum', 'Saccharum officinarum jamaicense', 'Saccharum officinarum litteratum', 'Saccharum officinarum litteratum-breve', 'Saccharum officinarum luridum', 'Saccharum officinarum luteum-durum', 'Saccharum officinarum luzonicum', 'Saccharum officinarum obscurum', 'Saccharum officinarum oceanica', 'Saccharum officinarum oceanicum', 'Saccharum officinarum otaheitensa', 'Saccharum officinarum otaheitense', 'Saccharum officinarum purpureum', 'Saccharum officinarum rubicundum', 'Saccharum officinarum rubrum-altum', 'Saccharum officinarum rubrum-humile', 'Saccharum officinarum tahitense', 'Saccharum officinarum variegatum', 'Saccharum officinarum violaceum', 'Saccharum rubicundum', 'Saccharum spontaneum luzonicum', 'Saccharum violaceum']	4547|Saccharum officinarum
erythroxylaceae	Erythroxylum	erythroxylum fimbriatum	Erythroxylum fimbriatum	Erythroxylum fimbriatum	6100264.0	[]	2589464|Erythroxylum fimbriatum
solanaceae	Lycianthes	lycianthes multinervium					
araceae	Syngonium	syngonium peliocladum	Syngonium peliocladum	Syngonium podophyllum	352215.0	['Pothos auritus', 'Syngonium affine', 'Syngonium amazonicum', 'Syngonium decipiens', 'Syngonium gracile', 'Syngonium peliocladum', 'Syngonium podophyllum typicum', 'Syngonium poeppigii', 'Syngonium riedelianum', 'Syngonium ruizii', 'Syngonium ternatum', 'Syngonium willdenowii', 'Syngonium xanthophilum', 'Xanthosoma gracile']	267621|Syngonium podophyllum
araceae	Philodendron	philodendron aurantiifolium	Philodendron aurantiifolium	Philodendron aurantiifolium	4000606.0	['Philodendron calderense']	
melastomataceae	Miconia	miconia ligulata	Miconia ligulata	Miconia ligulata	1017534.0	['Conostegia consimilis', 'Leandra consimilis']	427232|Miconia ligulata
piperaceae	Piper	piper garagaranum	Piper garagaranum	Piper garagaranum	1081774.0	['Piper conceptum', 'Piper viridispicum']	130400|Piper garagaranum
melastomataceae	Loreya	loreya mespiloides	Loreya mespiloides	Bellucia mespiloides	618401.0	['Henriettea brunnescens', 'Henriettea sagotiana', 'Loreya brunnescens', 'Loreya mespiloides']	454296|Bellucia mespiloides
poaceae	Ichnanthus	ichnanthus pallens	Ichnanthus pallens	Hildaea pallens	269741.0	['Ichnanthus axillaris', 'Ichnanthus pallens', 'Ichnanthus pallens majus', 'Panicum agrostideum', 'Panicum candidum', 'Panicum montanum', 'Panicum pallens', 'Panicum pallens swartzii']	1718245|Hildaea pallens
piperaceae	Peperomia	peperomia hernandiifolia	Peperomia hernandiifolia	Peperomia hernandiifolia	78850.0	['Peperomia choroniana puberulenta', 'Peperomia ciliifera', 'Peperomia ciliifera filipes', 'Peperomia conserta', 'Peperomia hernandifolia', 'Peperomia hernandiifolia calva', 'Peperomia hernandiifolia ciliifera', 'Peperomia hernandiifolia cryptocarpa', 'Peperomia hernandiifolia filipes', 'Peperomia ponthieui', 'Piper hernandiifolium']	511528|Peperomia hernandiifolia
