Family	Genus	Species	matched_name	taxon.name	taxon.ott_id	taxon.synonyms	NCBITaxonomy
melastomataceae	Miconia	miconia argentea	Miconia argentea	Miconia argentea	601405.0	['Acinodendron argenteum', 'Cremanium compressum', 'Melastoma argenteum', 'Miconia longistyla', 'Miconia procera']	263291|Miconia argentea
rubiaceae	Calycophyllum	calycophyllum candidissimum	Calycophyllum candidissimum	Calycophyllum candidissimum	9114.0	['Macrocnemum candidissimum', 'Mussaenda candida', 'Mussaenda candidissima']	43450|Calycophyllum candidissimum
rubiaceae	Palicourea	palicourea guianensis	Palicourea guianensis	Palicourea guianensis	786590.0	['Nonatelia cataractarum', 'Nonatelia guianensis', 'Palicourea barbinervia', 'Palicourea cajannensis', 'Palicourea cayennensis', 'Palicourea guianensis barbinervia', 'Palicourea guianensis glabra', 'Palicourea guianensis glabrescens', 'Palicourea guianensis guianensis', 'Palicourea guianensis occidentalis', 'Palicourea guianensis tetramera', 'Palicourea guianensis trimera', 'Palicourea hebetatum', 'Palicourea hypomalaca', 'Psychotria antillana', 'Psychotria cataractarum', 'Psychotria grandifolia', 'Psychotria guianensis', 'Psychotria lutea', 'Psychotria palicourea', 'Simira palicourea', 'Stephanium guianense', 'Uragoga barbinervia', 'Uragoga palicourea']	59596|Palicourea guianensis
cyperaceae	Scleria	scleria microcarpa	Scleria microcarpa	Scleria microcarpa	3957531.0	['Ophryoscleria microcarpa', 'Scleria foliosa', 'Scleria microcarpa foliosa', 'Scleria microcarpa subeggersiana']	1735515|Scleria microcarpa
smilacaceae	Smilax	smilax vanilliodora	Smilax vanilliodora	Smilax officinalis	229060.0	['Sarsaparilla acuminata', 'Smilax acuminata', 'Smilax barbillana', 'Smilax bernhardii', 'Smilax chiriquensis', 'Smilax flavescens', 'Smilax gilgiana', 'Smilax longifolia', 'Smilax longifolia variegata', 'Smilax officinalis publ', 'Smilax papyracea', 'Smilax pohliana', 'Smilax procera', 'Smilax quinquenervia', 'Smilax standleyi', 'Smilax syphilitica', 'Smilax tijucensis', 'Smilax tijucensis gardneriana', 'Smilax tijucensis pohliana', 'Smilax tonduzii', 'Smilax vanilliodora']	1080339|Smilax officinalis
fabaceae/pap.	Platymiscium	platymiscium curuense	Platymiscium curuense	Platymiscium curuense	997244.0	[]	557728|Platymiscium curuense
rubiaceae	Guettarda	guettarda macrosperma	Guettarda macrosperma	Guettarda macrosperma	678464.0	['Guettarda petenensis']	336040|Guettarda macrosperma
myrtaceae	Myrciaria	myrciaria floribunda	Myrciaria floribunda	Myrciaria floribunda	326813.0	['Calycorectes cubensis', 'Calyptranthes floribunda', 'Caryophyllus floribundus', 'Eugenia asa-grayi', 'Eugenia floribunda', 'Eugenia leucophloea warmingiana', 'Eugenia maximiliana', 'Eugenia oneillii', 'Eugenia polyneura', 'Eugenia protracta', 'Eugenia pycnoneura', 'Eugenia salzmannii', 'Marlierea brachymischa', 'Marlierea cubensis', 'Myrcia cubensis', 'Myrciaria amazonica', 'Myrciaria arborea', 'Myrciaria arborea rostrata', 'Myrciaria chartacea', 'Myrciaria ciliolata warmingiana', 'Myrciaria longipes', 'Myrciaria longipes opaca', 'Myrciaria longipes pellucida', 'Myrciaria maragnanensis', 'Myrciaria maranhensis', 'Myrciaria maximiliana', 'Myrciaria mexicana', 'Myrciaria oneillii', 'Myrciaria prasina', 'Myrciaria protracta', 'Myrciaria rubrinervis', 'Myrciaria salzmannii', 'Myrciaria schuechiana', 'Myrciaria schuechiana deflexa', 'Myrciaria schuechiana latifolia', 'Myrciaria sellowiana', 'Myrciaria splendens', 'Myrciaria tenuiramis', 'Myrciaria tolypantha', 'Myrciaria tolypantha angustifolia', 'Myrciaria tolypantha latifolia', 'Myrciaria uliginosa', 'Myrciaria verticillata', 'Myrtus floribunda', 'Myrtus micrantha', 'Myrtus verticillata', 'Plinia acutissima', 'Plinia asa-grayi', 'Plinia cubensis', 'Plinia formosa', 'Plinia rubrinervis', 'Siphoneugena cantareirae', 'Siphoneugena micrantha']	375265|Myrciaria floribunda
euphorbiaceae	Croton	croton billbergianus	Croton billbergianus	Croton billbergianus	597289.0	['Croton billbergianus pyramidalis', 'Croton grosseri', 'Croton pyramidalis', 'Oxydectes billbergiana']	425915|Croton billbergianus
arecaceae	Bactris	bactris glandulosa	Bactris glandulosa	Bactris bifida	1089800.0	['Bactris angustifolia', 'Bactris bifida humaitensis', 'Bactris bifida puruensis', 'Bactris glandulosa', 'Bactris oerstediana', 'Pyrenoglyphis bifida']	341981|Bactris bifida
fabaceae/mim.	Pithecellobium	pithecellobium johansenii	Pithecellobium johansenii	Pithecellobium johansenii	3919605.0	['Pithecellobium telense']	
flacourtiaceae	Zuelania	zuelania guidonia	Zuelania guidonia	Zuelania guidonia	1029885.0	['? laetioides', 'Casearia guidonia', 'Casearia icosandra', 'Casearia laetioides', 'Guidonia icosandra', 'Guidonia laetioides', 'Laetia crenata', 'Laetia guidonia', 'Laetia longifolia', 'Samyda icosandra', 'Thiodia laetioides', 'Thiodia serrata', 'Zuelania crenata', 'Zuelania icosandra', 'Zuelania laetioides', 'Zuelania longifolia', 'Zuelania roussoviae']	312408|Zuelania guidonia
rubiaceae	Psychotria	psychotria microdon	Psychotria microdon	Psychotria microdon	1033196.0	['Eumachia microdon', 'Mapouria microdon', 'Margaritopsis microdon', 'Psychotria cyrilli-nelsonii', 'Psychotria microdon meridionalis', 'Psychotria pinularis', 'Rondeletia microdon', 'Rondeletia microdonta', 'Rudgea alvarezii']	77888|Psychotria microdon
aristolochiaceae	Aristolochia	aristolochia leuconeura	Aristolochia leuconeura	Aristolochia leuconeura	1000009.0	['Aristolochia argyroneura', 'Aristolochia schippii', 'Aristolochia veraguensis', 'Howardia veraguensis']	387571|Aristolochia leuconeura
arecaceae	Acrocomia	acrocomia aculeata	Acrocomia aculeata	Acrocomia aculeata	817259.0	['Acrocomia antiguana', 'Acrocomia antioquiensis', 'Acrocomia belizensis', 'Acrocomia christopherensis', 'Acrocomia chunta', 'Acrocomia cubensis', 'Acrocomia erioacantha', 'Acrocomia fusiformis', 'Acrocomia glaucophylla', 'Acrocomia globosa', 'Acrocomia grenadana', 'Acrocomia guianensis', 'Acrocomia horrida', 'Acrocomia hospes', 'Acrocomia ierensis', 'Acrocomia karukerana', 'Acrocomia lasiospatha', 'Acrocomia media', 'Acrocomia mexicana', 'Acrocomia microcarpa', 'Acrocomia minor', 'Acrocomia mokayayba', 'Acrocomia odorata', 'Acrocomia panamensis', 'Acrocomia pilosa', 'Acrocomia quisqueyana', 'Acrocomia sclerocarpa', 'Acrocomia sclerocarpa wallaceana', 'Acrocomia sphaerocarpa', 'Acrocomia spinosa', 'Acrocomia subinermis', 'Acrocomia tenuifrons', 'Acrocomia ulei', 'Acrocomia viegasii', 'Acrocomia vinifera', 'Acrocomia wallaceana', 'Acrocomia zapotecis', 'Acromia media', 'Astrocaryum sclerocarpum', 'Bactris globosa', 'Bactris minor', 'Bactris pavoniana', 'Cocos aculeata', 'Cocos fusiformis', 'Palma mocaia', 'Palma spinosa']	169987|Acrocomia aculeata
fabaceae/pap.	Gliricidia	gliricidia sepium	Gliricidia sepium	Gliricidia sepium	869024.0	['Galedupa pungam', 'Gliricidia lambii', 'Gliricidia maculata', 'Gliricidia maculata multijuga', 'Lonchocarpus maculatus', 'Lonchocarpus rosea', 'Lonchocarpus sepium', 'Millettia luzonensis', 'Millettia slendidissima', 'Robinia maculata', 'Robinia rosea', 'Robinia sepium', 'Robinia variegata']	167663|Gliricidia sepium
verbenaceae	Avicennia	avicennia bicolor	Avicennia bicolor	Avicennia bicolor	61451.0	['Avicennia tonduzii']	139223|Avicennia bicolor
theaceae	Pelliciera	pelliciera rhizophorae	Pelliciera rhizophorae	Pelliciera rhizophorae	91887.0	['Pelliciera rhizophoreae', 'Pelliciera rhizophoreae benthamii']	112840|Pelliciera rhizophorae
malvaceae	Talipariti	talipariti tiliaceum	Talipariti tiliaceum	Talipariti tiliaceum	120948.0	['? tricuspe', 'Abelmoschus guineensis', 'Hibiscus abutiloides', 'Hibiscus boninensis', 'Hibiscus circinnatus', 'Hibiscus elatus', 'Hibiscus guineensis', 'Hibiscus tiliaceus', 'Hibiscus tiliaceus albiflorus', 'Hibiscus tiliaceus elatus', 'Hibiscus tiliaceus henryanus', 'Hibiscus tiliaceus immaculatus', 'Hibiscus tiliaceus purpurascens', 'Hibiscus tiliaceus sterilis', 'Hibiscus tiliaceus tiliaceus', 'Hibiscus tiliaceus tortuosus', 'Hibiscus tiliaceus typicus', 'Hibiscus tiliifolius', 'Hibiscus tortuosus', 'Parita tiliaceus', 'Pariti boninense', 'Pariti grande', 'Pariti tiliaceum', 'Pariti tiliaceum abortivum', 'Pariti tiliaceum albiflorum', 'Pariti tiliaceum foliis-tripartitis', 'Pariti tiliaceum immaculatum', 'Pariti tiliaceum trilobatum', 'Pariti tricuspe', 'Paritium abutiloides', 'Paritium circinnatum', 'Paritium guineense', 'Paritium purpurascens', 'Paritium tiliaceum', 'Paritium tiliifolium', 'Talipariti tiliaceaum', 'Talipariti tortuosum', 'Thespesia tiliaceum']	183267|Talipariti tiliaceum
verbenaceae	Avicennia	avicennia germinans	Avicennia germinans	Avicennia germinans	582599.0	['Avicennia africana', 'Avicennia elliptica', 'Avicennia floridana', 'Avicennia germinans aberrans', 'Avicennia germinans brasiliensis', 'Avicennia germinans cumanensis', 'Avicennia germinans guayaquilensis', 'Avicennia germinans venezuelensis', 'Avicennia lamarckiana', 'Avicennia meyeri', 'Avicennia nitida', 'Avicennia nitida trinitensis', 'Avicennia oblongifolia', 'Avicennia officinalis lanceolata', 'Avicennia officinalis nitida', 'Avicennia tomentosa', 'Avicennia tomentosa campechensis', 'Avicennia tomentosa cumanensis', 'Avicennia tomentosa guayaquilensis', 'Bontia germinans', 'Hilairanthus nitidus', 'Hilairanthus tomentosus', 'non Avicennia germinans (L.) Stearn, nom. illeg.']	41378|Avicennia germinans
scrophulariaceae	Castilleja	castilleja talamancensis	Castilleja talamancensis	Castilleja talamancensis	6087966.0	[]	
asteraceae	Senecio	senecio andicola	Senecio andicola	Monticalia andicola	7608583.0	['Monticalia andicola andicola', 'Pentacalia andicola', 'Pentacalia andicola andicola', 'Senecio andicola', 'Senecio andicola andicola']	
poaceae	Chusquea	chusquea subtessellata	Chusquea subtessellata	Chusquea subtessellata	426543.0	['Swallenochloa subtessellata']	47440|Chusquea subtessellata
pteridaceae	Jamesonia	jamesonia scammanae	Jamesonia scammanae	Jamesonia scammaniae	823949.0	['Jamesonia scammanae']	170603|Jamesonia scammaniae
bromeliaceae	Puya	puya dasylirioides	Puya dasylirioides	Puya dasylirioides	1040463.0	[]	693555|Puya dasylirioides
melastomataceae	Chaetolepis	chaetolepis cufodontisii	Chaetolepis cufodontisii	Chaetolepis cufodontisii	123428.0	[]	1160541|Chaetolepis cufodontisii
scrophulariaceae	Calceolaria	calceolaria irazuensis	Calceolaria irazuensis	Calceolaria irazuensis	6071950.0	['Calceolaria costaricensis']	
fabaceae/mim.	Prosopis	prosopis juliflora	Prosopis juliflora	Prosopis juliflora	332948.0	['Acacia cumanensis', 'Acacia juliflora', 'Acacia salinarum', 'Algarobia juliflora', 'Desmanthus salinarum', 'Mimosa juliflora', 'Mimosa piliflora', 'Mimosa salinarum', 'Neltuma bakeri', 'Neltuma juliflora', 'Neltuma occidenatlis', 'Neltuma occidentalis', 'Neltuma pallescens', 'Prosopis bracteolata', 'Prosopis cumanensis', 'Prosopis domingensis', 'Prosopis dulcis domingensis', 'Prosopis horrida', 'Prosopis inermis', 'Prosopis vidaliana']	13230|Prosopis juliflora
simaroubaceae	Quassia	quassia amara	Quassia amara	Quassia amara	708243.0	['Quassia alatifolia', 'Quassia amara amara', 'Quassia amara grandiflora', 'Quassia amara paniculata', 'Quassia crocea', 'Quassia officinalis']	43725|Quassia amara
simaroubaceae	Picramnia	picramnia latifolia	Picramnia latifolia	Picramnia latifolia	972695.0	['Picramnia cooperi', 'Picramnia eosina', 'Picramnia longissima', 'Picramnia macrostachys', 'Picramnia umbrosa']	681474|Picramnia latifolia
annonaceae	Xylopia	xylopia frutescens	Xylopia frutescens	Xylopia frutescens	76994.0	['Diospyros xylopioides', 'Xylopia meridensis', 'Xylopia polyantha nicaraguensis', 'Xylopia setosa', 'Xylopicrum frutescens']	306916|Xylopia frutescens
fabaceae/pap.	Dalbergia	dalbergia brownei	Dalbergia brownei	Dalbergia brownei	3926697.0	['Amerimnon brownei', 'Amerimnon brownii', 'Dalbergia amerimnum']	418693|Dalbergia brownei
bignoniaceae	Amphitecna	amphitecna latifolia	Amphitecna latifolia	Amphitecna latifolia	167685.0	['Amphitecna obovata', 'Crescentia coriacea', 'Crescentia cucurbitifera', 'Crescentia cucurbitina', 'Crescentia cucurbitina heterophylla', 'Crescentia cuspidata', 'Crescentia elongata', 'Crescentia latifolia', 'Crescentia lethifera', 'Crescentia obovata', 'Crescentia ovata', 'Crescentia palustris', 'Crescentia toxicaria', 'Dendrosicus latifolius', 'Dendrosicus saxatilis', 'Enallagma cucurbitina', 'Enallagma latifolia', 'Enallagma obovata']	429681|Amphitecna latifolia
arecaceae	Neonicholsonia	neonicholsonia watsonii	Neonicholsonia watsonii	Neonicholsonia watsonii	287649.0	['Neonicholsonia georgei', 'Woodsonia scheryi']	115500|Neonicholsonia watsonii
heliconiaceae	Heliconia	heliconia imbricata	Heliconia imbricata	Heliconia imbricata	325476.0	['Bihai densa', 'Bihai imbricata', 'Heliconia densa']	1125924|Heliconia imbricata
meliaceae	Trichilia	trichilia pallida	Trichilia pallida	Trichilia pallida	957670.0	['Guarea obtusifolia', 'Hedwigia simplicifolia', 'Pholacilia diversifolia', 'Pholacilia trinitensis', 'Portesia diversifolia', 'Portesia echinocarpa', 'Portesia montana', 'Portesia ovata', 'Portesia simplicifolia', 'Portesia trinitensis', 'Trichilia brachystachya', 'Trichilia brasiliensis', 'Trichilia davisii', 'Trichilia diversifolia', 'Trichilia echinocarpa', 'Trichilia excelsa', 'Trichilia flava', 'Trichilia gigantophylla', 'Trichilia goudotiana', 'Trichilia laminensis', 'Trichilia lobulata', 'Trichilia macrophylla', 'Trichilia microphylla', 'Trichilia mollis', 'Trichilia montana', 'Trichilia montana acutivalvis', 'Trichilia pauciflora', 'Trichilia peruviana', 'Trichilia portoricensis', 'Trichilia pubescens', 'Trichilia riedelii', 'Trichilia simplicifolia', 'Trichilia skutchii', 'Trichilia subsimplex', 'Trichilia trinitensis', 'Trichilia triphylla', 'Trichilia truncata', 'Trichilia weddellii', 'Trichilia weddellii parvifolia', 'Trichilia weddellii stylosa']	597422|Trichilia pallida
euphorbiaceae	Mabea	mabea occidentalis	Mabea occidentalis	Mabea occidentalis	3911825.0	['Mabea acutissima', 'Mabea belizensis', 'Mabea glauca', 'Mabea microcarpa', 'Mabea occidentalis genuina', 'Mabea pallida']	
poaceae	Urochloa	urochloa decumbens	Urochloa decumbens	Urochloa decumbens	896864.0	['Brachiaria decumbens']	240449|Urochloa decumbens
malpighiaceae	Bunchosia	bunchosia cornifolia	Bunchosia cornifolia	Bunchosia nitida	520302.0	['Bunchosia cornifolia', 'Bunchosia glauca', 'Malpighia nitida', 'Malpighia spicata']	544659|Bunchosia nitida
rubiaceae	Alibertia	alibertia edulis	Alibertia edulis	Alibertia edulis	952905.0	['Amaioua edulis', 'Amaioua utilis', 'Cordiera edulis', 'Garapatica edulis', 'Gardenia edulis', 'Genipa edulis', 'Sabicea edulis']	58508|Alibertia edulis
brassicaceae	Nasturtium	nasturtium officinale	Nasturtium officinale	Nasturtium officinale	556245.0	['? nasturtium', 'Baeumerta nasturtium', 'Baeumerta nasturtium-aquaticum', 'Cardamine fontana', 'Cardamine nasturtium', 'Cardamine nasturtium-aquaticum', 'Dictyosperma olgae', 'Nasturtium aquaticum', 'Nasturtium fontanum', 'Nasturtium nasturtium', 'Nasturtium nasturtium-aquaticum', 'Nasturtium nasturtium-aquaticum (L.) H.Karst., nom. inval.', 'Nasturtium officinale asarifolium', 'Nasturtium officinale insipidum', 'Nasturtium officinale intermedium', 'Nasturtium officinale officinale', 'Nasturtium officinale rotundifolium', 'Nasturtium officinale siifolium', 'Nasturtium siifolium', 'Radicula nasturtium', 'Radicula nasturtium-aquaticum', 'Radicula officinalis', 'Rorippa nasturtium', 'Rorippa nasturtium-aquaticum', 'Rorippa officinalis', 'Sisymbrium nasturtium', 'Sisymbrium nasturtium-aquaticum']	65948|Nasturtium officinale
lycopodiaceae	Huperzia	huperzia hippuridea	Huperzia hippuridea	Phlegmariurus hippurideus	174300.0	['Huperzia boliviana', 'Huperzia hippuridea', 'Huperzia lechleri', 'Huperzia montana', 'Lycopodium bolivianum', 'Lycopodium bolivianum teretiuscula', 'Lycopodium hippurideum', 'Lycopodium hippurideum montanum', 'Lycopodium lechleri', 'Lycopodium montanum', 'Lycopodium poseidonis', 'Urostachys bolivianus', 'Urostachys bolivianus ringshausenii', 'Urostachys bolivianus teretiuscula', 'Urostachys hippuridea', 'Urostachys hippurideus', 'Urostachys hippurideus hippurideus', 'Urostachys hippurideus montanus', 'Urostachys lechleri', 'Urostachys lechleri lehmannii', 'Urostachys lehmannii', 'Urostachys montanus', 'Urostachys poseidonis', 'Urostachys ringshausenii']	69998|Phlegmariurus hippurideus
fabaceae/caes.	Schizolobium	schizolobium parahyba	Schizolobium parahyba	Schizolobium parahyba	765777.0	['Caesalpinia parahyba', 'Cassia parahyba', 'Schizolobium excelsum', 'Schizolobium glutinosum', 'Schizolobium kellermanii', 'Schizolobium parahyba parahyba', 'Schizolobium parahybrum', 'Schizolobium parahybum']	46664|Schizolobium parahyba
fabaceae/mim.	Albizia	albizia adinocephala	Albizia adinocephala	Albizia adinocephala	78710.0	['Pithecellobium adinocephalum', 'Pithecellobium discolor']	199153|Albizia adinocephala
amaranthaceae	Pleuropetalum	pleuropetalum pleiogynum	Pleuropetalum pleiogynum	Pleuropetalum pleiogynum	6033754.0	['Celosia pleiogyna', 'Pleuropetalum standleyi']	
loganiaceae	Strychnos	strychnos nigricans	Strychnos nigricans	Strychnos nigricans	602605.0	[]	1040908|Strychnos nigricans
asteraceae	Gnaphalium	gnaphalium roseum	Gnaphalium roseum	Pseudognaphalium roseum	3898939.0	['Gnaphalium nitens', 'Gnaphalium oblanceolatum', 'Gnaphalium roseum', 'Gnaphalium roseum angustifolium', 'Gnaphalium roseum roseum', 'Gnaphalium roseum sordescens']	
rosaceae	Lachemilla	lachemilla pectinata	Lachemilla pectinata	Alchemilla pectinata	337167.0	['Alchemilla pectinata mexicana', 'Lachemilla pectinata']	478367|Alchemilla pectinata
asteraceae	Diplostephium	diplostephium costaricense	Diplostephium costaricense	Piofontia costaricensis	6056175.0	['Diplostephium costaricense']	1716008|Piofontia costaricensis
apiaceae	Eryngium	eryngium humile	Eryngium humile	Eryngium humile	2747.0	['Eryngium costaricense', 'Eryngium humile brevibracteatum', 'Eryngium humile caulescens', 'Eryngium humile gigantophyllum', 'Eryngium humile latipes', 'Eryngium humile multiradiatum', 'Eryngium humile pulchellum', 'Eryngium humile radiciflorum', 'Eryngium humile stellatum', 'Eryngium humile subacaule', 'Eryngium jahnii', 'Eryngium moritzii', 'Eryngium pulchellum', 'Eryngium radiciflorum', 'Eryngium ranunculoides', 'Eryngium stellatum']	477874|Eryngium humile
ranunculaceae	Ranunculus	ranunculus peruvianus	Ranunculus peruvianus	Ranunculus peruvianus	546757.0	['Ranunculus centellifolius']	671259|Ranunculus peruvianus
asteraceae	Chionolaena	chionolaena lavandulifolia	Chionolaena lavandulifolia	Chionolaena lavandulifolia	386039.0	['Chionolaena costaricensis', 'Chionolaena macdonaldii', 'Gnaphaliothamnus costaricensis', 'Gnaphaliothamnus lavandulifolius', 'Gnaphaliothamnus macdonaldii', 'Gnaphalium lavandulaceum', 'Gnaphalium lavandulifolium', 'Helichrysum lavandulifolium']	211061|Chionolaena lavandulifolia
lamiaceae	Lepechinia	lepechinia schiedeana	Lepechinia schiedeana	Lepechinia schiedeana	5265185.0	['Alguelagum alpinum', 'Lepechinia alpina', 'Lepechinia hirsuta', 'Lepechinia humilis', 'Lepechinia procumbens', 'Sphacele alpina', 'Sphacele hirsuta', 'Stachys schiedeana']	1405046|Lepechinia schiedeana
fabaceae/pap.	Lupinus	lupinus costaricensis	Lupinus costaricensis	Lupinus costaricensis	3923233.0	[]	
hernandiaceae	Sparattanthelium	sparattanthelium amazonum	Sparattanthelium amazonum	Sparattanthelium amazonum	66539.0	['Sparattanthelium amazonum guatemalense', 'Sparattanthelium guatemalense', 'Sparattanthelium septentrionale']	263814|Sparattanthelium amazonum
lauraceae	Ocotea	ocotea pentagona	Ocotea pentagona	Ocotea atirrensis	1053805.0	['Ocotea nicaraguensis', 'Ocotea paulii', 'Ocotea pedalifolia', 'Ocotea pentagona', 'Ocotea wedeliana']	1129451|Ocotea atirrensis
sapindaceae	Paullinia	paullinia pinnata	Paullinia pinnata	Paullinia pinnata	730985.0	['Cururu pinnata', 'Pancovia heckelii', 'Paullinia africana', 'Paullinia angusta', 'Paullinia cartagenensis', 'Paullinia curassavica', 'Paullinia diversiflora', 'Paullinia diversifolia', 'Paullinia hostmannii', 'Paullinia lucida', 'Paullinia nitida', 'Paullinia pendulifolia', 'Paullinia senegalensis', 'Paullinia uvata', 'Semarillaria nitida', 'Serjania confertiflora', 'Serjania confertiflora dasycephala']	290984|Paullinia pinnata
rubiaceae	Pentagonia	pentagoniaucei	Pentagonia coa	Legousia pentagonia	308014.0	['Campanula coa', 'Campanula pentagonia', 'Pentagonia coa', 'Prismatocarpus pentagonius', 'Specularia coa', 'Specularia pentagonia', 'Specularia pentagonia coa', 'Specularia pentagonia pubescens', 'Specularia speculum pentagonia']	519294|Legousia pentagonia
sabiaceae	Meliosma	meliosma allenii	Meliosma allenii	Meliosma allenii	5922895.0	['Meliosma longipetiolata', 'Meliosma maxima']	1705925|Meliosma allenii
fabaceae/caes.	Caesalpinia	caesalpinia bonduc	Caesalpinia bonduc	Guilandina bonduc	72917.0	['Caesalpinia bonduc']	191881|Guilandina bonduc
euphorbiaceae	Omphalea	omphalea diandra	Omphalea diandra	Omphalea diandra	630887.0	['Hebecocca panamensis', 'Omphalandria diandra', 'Omphalea cordata', 'Omphalea diandra genuina', 'Omphalea diandra panamensis', 'Omphalea diandra paraensis', 'Omphalea elaeophoroides', 'Omphalea guyanensis', 'Omphalea megacarpa', 'Omphalea panamensis']	289649|Omphalea diandra
dilleniaceae	Doliocarpus	doliocarpus major	Doliocarpus major	Doliocarpus major	151309.0	['Doliocarpus brevipedicellatus', 'Doliocarpus curtipes', 'Doliocarpus dentosus', 'Doliocarpus major major', 'Doliocarpus punctatus', 'Doliocarpus scandens', 'Doliocarpus spinulifer', 'Doliocarpus strictus', 'Tetracera doliocarpus', 'Tetracera stricta']	640657|Doliocarpus major
poaceae	Rottboellia	rottboellia cochinchinensis	Rottboellia cochinchinensis	Rottboellia cochinchinensis	30534.0	['Aegilops exaltata', 'Aegilops fluviatilis', 'Manisuris exaltata', 'Manisuris exaltata appendiculata', 'Ophiuros appendiculatus', 'Rottboellia arundinacea', 'Rottboellia denudata', 'Rottboellia exaltata', 'Rottboellia exaltata appendiculata', 'Rottboellia exaltata arundinacea', 'Rottboellia exaltata glaberrima', 'Rottboellia hispida', 'Rottboellia setosa', 'Stegosia cochinchinensis', 'Stegosia exaltata']	300125|Rottboellia cochinchinensis
myrtaceae	Eugenia	eugenia acapulcensis	Eugenia acapulcensis	Eugenia acapulcensis	3936995.0	['Eugenia antiguae', 'Eugenia bartlettiana', 'Eugenia baruensis', 'Eugenia bonplandiana', 'Eugenia bracteolosa', 'Eugenia campechiana', 'Eugenia carranzae', 'Eugenia carthagenensis', 'Eugenia carthagenensis baruensis', 'Eugenia comitanensis', 'Eugenia deltoidea', 'Eugenia escuintlensis', 'Eugenia ilhensis', 'Eugenia mosquitensis', 'Eugenia ovatifolia', 'Eugenia sibunensis', 'Myrtus baruensis', 'Myrtus maritima']	1475403|Eugenia acapulcensis
hippocrateaceae	Cuervea	cuervea kappleriana	Cuervea kappleriana	Cuervea kappleriana	806619.0	['Anthodon apiculatum', 'Cuervea granatensis', 'Cuervea hawkesii', 'Cuervea jamaicensis', 'Cuervea latifolia', 'Cuervea megacarpa', 'Cuervea mitchellae', 'Hippocratea aggregata', 'Hippocratea ambigua', 'Hippocratea flava', 'Hippocratea granatensis', 'Hippocratea inundata', 'Hippocratea kappleriana', 'Hippocratea lutea', 'Hippocratea megacarpa', 'Hippocratea miersii', 'Hippocratea mitchellae', 'Hippocratea oblongata', 'Hylenaea jamaicensis', 'Pristimera apiculata', 'Pristimera granulosa', 'Pristimera oblongata', 'Romualdea apiculata', 'Romualdea lancifolia']	123410|Cuervea kappleriana
malpighiaceae	Lophanthera	lophanthera hammelii	Lophanthera hammelii	Lophanthera hammelii	932396.0	[]	1027166|Lophanthera hammelii
moraceae	Ficus	ficus maxima	Ficus maxima	Ficus maxima	49025.0	['Ficus anthelminthica', 'Ficus bopiana', 'Ficus chaconiana', 'Ficus coybana', 'Ficus glaucescens', 'Ficus grandaeva', 'Ficus guadalajarana', 'Ficus hernandezii', 'Ficus kunthii', 'Ficus laurifolia', 'Ficus martinicensis', 'Ficus mexicana', 'Ficus murilloi', 'Ficus murilloi cajambrensis', 'Ficus neriifolia', 'Ficus parkeri', 'Ficus pergamenea', 'Ficus picardae', 'Ficus plumieri', 'Ficus protensa', 'Ficus pseudoradula', 'Ficus rhododendrifolia', 'Ficus rubricosta', 'Ficus sodiroi', 'Ficus subscabrida', 'Ficus ulei', 'Ficus vicencionis', 'Galoglychia martinicensis', 'Pharmacosycea glaucescens', 'Pharmacosycea guyanensis', 'Pharmacosycea hernandezii', 'Pharmacosycea mexicana', 'Pharmacosycea pseudoradula', 'Pharmacosycea rigida', 'Urostigma kunthii', 'Urostigma laurifolium', 'Urostigma protensum']	100557|Ficus maxima
sapindaceae	Cupania	cupania rufescens	Cupania rufescens	Cupania rufescens	497072.0	['Cupania andina', 'Cupania asperula', 'Cupania costaricensis', 'Cupania fulvida']	681429|Cupania rufescens
poaceae	Olyra	olyra latifolia	Olyra latifolia	Olyra latifolia	779603.0	['Axonopus fockei', 'Axonopus surinamensis', 'Axonopus surinamensis imberbis', 'Olyra arundinacea', 'Olyra brasiliensis', 'Olyra brevifolia', 'Olyra cordifolia', 'Olyra cordifolia scabriuscula', 'Olyra guineensis', 'Olyra lartifolia', 'Olyra latifolia arundinacea', 'Olyra latifolia glabriuscula', 'Olyra latifolia pubescens', 'Olyra latifolia vestita', 'Olyra media', 'Olyra paniculata', 'Olyra pubescens', 'Olyra scabra', 'Olyra surinamensis', 'Panicum surinamense', 'Paspalum fockei', 'Paspalum surinamense', 'Stipa latifolia']	38716|Olyra latifolia
apocynaceae	Aspidosperma	aspidosperma myristicifolium	Aspidosperma myristicifolium	Aspidosperma myristicifolium	619037.0	['Aspidosperma elatum', 'Geissospermum myristicifolium']	141534|Aspidosperma myristicifolium
rubiaceae	Randia	randia armata	Randia armata	Randia armata	784318.0	['Gardenia armata', 'Randia armata pubescens', 'Randia spinosa', 'Solena armata']	203050|Randia armata
elaeocarpaceae	Sloanea	sloanea terniflora	Sloanea terniflora	Sloanea terniflora	651352.0	['Dasycarpus quadrivalvis', 'Dasycarpus quadrivalvis obovata', 'Lasiocarpus triflorus', 'Lecostemon terniflorum', 'Lecostomon terniflorum', 'Sloanea quadrivalvis']	681488|Sloanea terniflora
myrsinaceae	Ardisia	ardisia opegrapha	Ardisia opegrapha	Ardisia opegrapha	388977.0	[]	1073917|Ardisia opegrapha
