ID	Family	Genus	Species	Part	
Malvaviscus concinnus|AE	malvaceae	Malvaviscus	Malvaviscus concinnus	AE	
Miconia argentea|L	melastomataceae	Miconia	Miconia argentea	L	
Calycophyllum candidissimum|L	rubiaceae	Calycophyllum	Calycophyllum candidissimum	L	
Palicourea guianensis|L	rubiaceae	Palicourea	Palicourea guianensis	L	
Scleria microcarpa|WP	cyperaceae	Scleria	Scleria microcarpa	WP	
Smilax vanilliodora|WP	smilacaceae	Smilax	Smilax vanilliodora	WP	
Platymiscium curuense|L	fabaceae/pap.	Platymiscium	Platymiscium curuense	L	
Guettarda macrosperma|AE	rubiaceae	Guettarda	Guettarda macrosperma	AE	
Myrciaria floribunda|L	myrtaceae	Myrciaria	Myrciaria floribunda	L	
Croton billbergianus|L	euphorbiaceae	Croton	Croton billbergianus	L	
Bactris glandulosa|L	arecaceae	Bactris	Bactris glandulosa	L	
Pithecellobium johansenii|AE	fabaceae/mim.	Pithecellobium	Pithecellobium johansenii	AE	
Zuelania guidonia|L	flacourtiaceae	Zuelania	Zuelania guidonia	L	
Psychotria microdon|WP	rubiaceae	Psychotria	Psychotria microdon	WP	
Aristolochia leuconeura|WP	aristolochiaceae	Aristolochia	Aristolochia leuconeura	WP	
Acrocomia aculeata|L	arecaceae	Acrocomia	Acrocomia aculeata	L	
Gliricidia sepium|L	fabaceae/pap.	Gliricidia	Gliricidia sepium	L	
Avicennia bicolor|L	verbenaceae	Avicennia	Avicennia bicolor	L	
Pelliciera rhizophorae|L	theaceae	Pelliciera	Pelliciera rhizophorae	L	
Talipariti tiliaceum|L	malvaceae	Talipariti	Talipariti tiliaceum	L	
Avicennia germinans|L	verbenaceae	Avicennia	Avicennia germinans	L	
Castilleja talamancensis|WP	scrophulariaceae	Castilleja	Castilleja talamancensis	WP	
Senecio andicola|AE	asteraceae	Senecio	Senecio andicola	AE	
Chusquea subtessellata|AE	poaceae	Chusquea	Chusquea subtessellata	AE	
Jamesonia scammanae|WP	pteridaceae	Jamesonia	Jamesonia scammanae	WP	
Puya dasylirioides|WP	bromeliaceae	Puya	Puya dasylirioides	WP	
